# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2]
2020000,0.0022,0.0106,-0.0028,4.12,0.13,-9.64
2030000,-0.0036,0.0108,0.0036,3.97,0.06,-9.66
2040000,0.0022,0.0092,-0.0022,4.02,-0.02,-9.94
2050000,-0.0008,0.0102,-0.0008,4.07,0.04,-9.78
2060000,-0.0032,0.008,0.0008,4.02,-0.09,-9.74
2070000,-0.0018,0.0106,-0.0016,4.23,-0.22,-9.62
2080000,0.0018,0.0112,-0.0002,4.1,0.16,-9.92
2090000,-0.0028,0.0098,-0.0016,4.01,0.24,-9.89
2100000,-0.003,0.01,0.0014,4.13,-0.16,-9.78
2110000,-0.0006,0.0084,-0.004,3.96,-0.19,-9.76
2120000,0.0026,0.0112,0.0038,4.21,0.22,-9.78
2130000,-0.0028,0.0086,-0.0042,4.1,-0.21,-9.51
2140000,0.0054,0.0074,0.0052,3.91,0.15,-9.94
2150000,0.0018,0.011,-0.0002,4.09,-0.18,-9.73
2160000,-0.001,0.0144,-0.0008,4.02,0.03,-9.74
2170000,-0.002,0.0134,-0.0044,3.93,0.09,-9.6
2180000,0.001,0.0042,0.0054,4.15,-0.15,-9.81
2190000,0.0028,0.0116,0.0056,4.16,-0.01,-9.85
2200000,0.0008,0.008,-0.0066,3.99,-0.07,-9.78
2210000,0.001,0.0104,0.0022,4.01,0.05,-9.6
2220000,0.0008,0.0098,-0.0024,4.17,-0.12,-9.8
2230000,-0.0004,0.0078,0.0014,3.97,0.03,-9.67
2240000,-0.002,0.0088,0.0002,4.04,-0.08,-9.88
2250000,-0.0008,0.0058,-0.0002,3.89,0.08,-9.56
2260000,0.0024,0.0082,0.0026,4.29,-0.04,-9.88
2270000,-0.0024,0.009,-0.0038,3.93,0.03,-9.76
2280000,-0.0006,0.0114,-0.0006,4.12,-0.12,-9.76
2290000,0.0004,0.012,0.0002,4.17,-0.12,-9.8
2300000,0.0008,0.0074,0.0012,4.02,-0.08,-9.75
2310000,-0.0008,0.01,-0,4,0.01,-9.82
2320000,-0,0.0122,-0.0022,4.05,-0.09,-9.63
2330000,-0.002,0.0098,0,4.17,-0.02,-9.6
2340000,-0.0018,0.0064,0.0026,3.94,0.03,-9.76
2350000,0.0042,0.0102,-0.0012,4.05,0.07,-9.78
2360000,-0.003,0.0098,-0.0012,4.08,-0.1,-9.86
2370000,0.0052,0.0084,-0.0022,4.16,-0,-9.72
2380000,-0.004,0.0084,-0.0002,3.97,0.32,-9.8
2390000,0.001,0.0148,0.001,4.19,-0.28,-9.73
2400000,-0,0.0064,-0.0008,3.92,0.01,-9.85
2410000,-0.0022,0.0078,0.0046,3.99,-0.21,-9.5
2420000,0.0002,0.01,-0.0036,3.88,0.13,-9.84
2430000,0.0036,0.0098,-0.006,4.2,0.05,-9.91
2440000,-0.0008,0.01,0.0006,3.98,0.07,-9.69
2450000,0.0012,0.0096,0.0026,4.29,0.09,-9.8
2460000,-0.004,0.0108,0.0016,3.95,-0.06,-9.82
2470000,0.0042,0.009,-0.0036,4.04,-0.03,-9.83
2480000,-0.0062,0.0108,0.0018,4.09,-0.04,-9.5
2490000,0.0026,0.0088,0.0002,4,-0.25,-9.72
2500000,0.0026,0.0088,-0.0056,4.14,0.16,-9.79
2510000,0.0012,0.0078,0.0008,4.17,0.08,-9.69
2520000,-0.0012,0.0102,0.0026,4.13,-0.06,-9.64
2530000,-0.0016,0.0108,-0,3.89,-0.19,-9.83
2540000,-0.0004,0.0078,0.0012,4.26,-0.08,-9.58
2550000,0.002,0.012,-0.001,4.21,0.01,-9.82
2560000,-0.0014,0.0106,0.0018,3.94,-0.05,-9.77
2570000,0.0004,-0.002,0.0008,3.46,-0,-9.7
2580000,0.001,-0.0032,0.0028,3.23,0.01,-9.59
2590000,0.0004,-0.0012,0.0016,3.39,0.02,-9.73
2600000,0.0008,-0.0046,-0.0052,3.16,0.07,-9.78
2610000,0,0.0002,-0.0028,3.15,-0.11,-9.67
2620000,0.0008,-0.0048,-0.0004,3.49,-0.15,-9.93
2630000,-0.0016,-0.0042,0.0022,3.31,0.09,-9.88
2640000,0.0028,-0.0032,-0.002,3.2,-0.02,-9.8
2650000,-0.0034,-0.0044,0.0024,3.19,0.01,-9.93
2660000,-0.0006,0.0004,0.0006,3.29,-0.21,-9.61
2670000,0.0026,-0.004,-0.0004,3.38,0.09,-9.76
2680000,0.0002,-0.0006,0.0002,3.29,-0.06,-9.72
2690000,0.0008,-0.0032,0.0016,3.3,-0.04,-9.88
2700000,0,-0.0056,0.0002,3.36,0.05,-9.7
2710000,-0.001,-0.0004,-0.0058,3.3,-0.22,-9.87
2720000,-0.0012,-0.0068,0.0026,3.25,0.03,-9.56
2730000,-0.0048,-0.006,-0.0024,3.28,-0.08,-9.85
2740000,0,-0.0032,0.002,3.31,-0.04,-9.82
2750000,0.0016,-0.0044,0.0002,3.42,0.21,-9.73
2760000,0.001,0.0012,0,3.17,-0.04,-9.66
2770000,0.0008,-0.0016,-0.0002,3.21,0.01,-9.54
2780000,-0.0014,0.0004,-0.0004,3.31,-0.32,-9.73
2790000,0.0012,-0.0024,-0.0002,3.68,0.29,-9.8
2800000,-0.0006,-0.0032,0.0006,3.06,-0.03,-9.79
2810000,0.0032,-0.003,0.0046,3.19,0.05,-9.63
2820000,0.0004,-0.004,0.0002,3.25,0.02,-9.84
2830000,-0.003,-0.0038,-0.0026,3.11,0.12,-9.91
2840000,-0.0016,-0.0016,-0.0044,3.36,-0.02,-9.57
2850000,0.0026,-0.0038,-0.0004,2.99,-0.13,-10.03
2860000,0.0008,-0.0046,0.0004,3.43,0,-9.7
2870000,0.0008,-0.0024,0,3.35,0.04,-9.7
2880000,0.0006,0.0006,-0.0004,3.4,-0.22,-9.71
2890000,0.0016,-0.0032,0.0018,3.14,0.11,-9.76
2900000,0.0026,-0.0026,-0.0036,3.2,0.14,-9.68
2910000,0.0018,-0.0024,-0.0002,3.23,0.02,-9.77
2920000,-0.0042,-0.0012,0.0028,3.34,-0.17,-9.82
2930000,0.0074,-0.0018,-0.0042,3.37,-0.27,-9.75
2940000,-0.004,-0.0018,0.004,3.12,0.26,-9.62
2950000,-0.0002,-0.004,-0,3.39,-0.02,-9.71
2960000,-0.0058,-0.0032,-0.0022,3.37,-0.09,-9.88
2970000,-0.003,-0.0052,-0.0006,3.54,0.03,-9.79
2980000,0.0006,-0.0032,0.0034,3.41,0.02,-9.82
2990000,0.0036,-0.0002,-0.0016,3.18,0.05,-9.75
3000000,-0.0022,-0.0008,-0.0014,3.12,0.06,-9.7
3010000,-0.0056,-0.0012,0.0004,3.14,-0.31,-9.77
3020000,0.0038,0.001,0.0004,3.24,0.05,-9.67
3030000,0.0002,-0.011,-0.0036,3.5,-0.13,-9.77
3040000,-0.0002,-0.0022,0.004,3.24,0.04,-9.85
3050000,0.0014,-0.004,0.0004,3.26,0.14,-9.94
3060000,-0.0014,-0.0008,0.0048,3.29,-0.11,-9.83
3070000,0.001,-0.0054,-0.0034,3.19,-0.08,-9.87
3080000,-0.0006,0.0004,0.0004,3.45,-0.02,-9.73
3090000,-0.0018,-0.0034,-0.0014,3.1,-0.1,-9.6
3100000,-0,-0.001,-0.002,3.35,0.12,-9.68
3110000,0.0034,-0.0062,-0.0034,3.45,0.12,-9.62
3120000,-0.002,0.0014,0.0034,3.26,-0.25,-9.93
3130000,-0.0004,-0.0016,0.001,3.39,-0.03,-9.6
3140000,-0.0002,-0.0022,-0.0024,3.41,0.13,-9.83
3150000,-0.0012,-0.004,0.0006,3.21,0.09,-9.81
3160000,0.0014,-0.0014,0.0002,3.21,-0.06,-9.7
3170000,-0.0004,-0.0008,-0.0016,3.13,0.04,-10.05
3180000,0.0014,-0.003,0.0008,3.29,-0.12,-9.54
3190000,-0.0018,-0.0038,0.0034,3.42,-0.06,-9.71
3200000,0.0028,-0.0054,-0.0038,3.49,-0.07,-9.71
3210000,0.0008,-0.0016,0.0062,3.3,-0.09,-9.64
3220000,0.0032,-0.002,-0.0016,3.12,0.03,-9.68
3230000,-0.0002,-0.0046,0.0002,3.3,0.08,-9.95
3240000,-0.0014,-0.0024,-0.0018,3.44,-0.09,-9.76
3250000,-0.0032,-0.009,-0.0006,3.36,-0.03,-9.82
3260000,0.0012,0.0014,0.001,3.2,-0.12,-9.81
3270000,-0.001,0,0.0002,3.18,0.13,-9.71
3280000,0,-0.0018,-0.0004,3.48,-0.04,-9.78
3290000,-0.0008,-0.0082,0.0008,3.07,-0.03,-9.89
3300000,0.002,-0.0002,-0.0004,3.45,0.03,-9.69
3310000,0.0034,-0.0024,-0.0032,3.32,-0.03,-9.71
3320000,-0.0036,-0.0012,0.0024,3.31,-0.09,-9.68
3330000,0.0016,-0.0048,-0.002,3.35,-0.02,-9.69
3340000,-0.0012,0.0004,0.0012,3.18,-0.18,-9.85
3350000,-0.0028,-0.0024,-0.0048,3.25,-0.02,-9.67
3360000,0.0022,-0.002,0.004,3.37,0.02,-9.81
3370000,0.0012,-0.002,0.0052,3.34,0.06,-9.84
3380000,0.0014,0.001,-0.0052,3.16,-0.09,-9.58
3390000,-0.0012,-0.0016,-0.0014,3.65,0.02,-9.55
