# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2], imu_temp_c [degC]
# block-averaged from 797 Hz by 4 (inslib_decimate_dataset.py)
5440686252,-0.000810557882,-0.00107656421,-0.00238763672,-0.321381296,-0.328523459,-9.83181981,33.9
5440691267,0,-0.00107656421,-0.00106117191,-0.326162904,-0.32732687,-9.81328344,33.825
5440696283,0.000270185965,-0.00134570523,-0.00185705083,-0.325565203,-0.335703032,-9.82165468,33.85
5440701298,0,-0.00188398727,-0.00132646488,-0.318392791,-0.343480899,-9.82464451,33.9
5440706314,0,-0.00188398727,-0.00212234381,-0.330346811,-0.336301336,-9.82584044,33.825
5440711329,0.00027018598,-0.00161484625,-0.00185705083,-0.330346811,-0.338096229,-9.82524247,34
5440716345,0.00135092983,-0.00215312829,-0.00106117191,-0.320783595,-0.328523468,-9.8300262,33.875
5440721360,0,-0.0029605514,-0.000530585955,-0.314806566,-0.334506443,-9.82883027,33.9
5440726376,0.00108074386,-0.00242226933,-0.00132646488,-0.316001968,-0.341087712,-9.8264384,33.825
5440731391,-0.000270185935,-0.00242226933,-0.00106117191,-0.310024948,-0.338096229,-9.82883027,33.9
5440736407,0,-0.00322969244,-0.00132646488,-0.311818061,-0.332711549,-9.82225264,33.85
5440741422,0.00108074386,-0.00188398727,-0.00159175786,-0.302254826,-0.348267293,-9.83062416,33.95
5440746437,0,-0.00215312829,-0.000265292977,-0.301059424,-0.34228432,-9.83062387,33.875
5440751453,-0.00027018595,-0.00215312831,-0.00106117191,-0.301059419,-0.344677498,-9.84138638,33.975
5440756468,0,-0.00134570523,-0.00185705083,-0.302254826,-0.342882614,-9.83540731,33.925
5440761484,-0.00027018595,-0.00161484625,-0.00185705083,-0.290898484,-0.339891122,-9.82524247,33.9
5440766499,-0.0010807438,-0.00161484625,-0.000265292977,-0.296277802,-0.341686015,-9.82344858,33.9
5440771515,-0.0010807438,-0.00215312829,-0.000795878932,-0.289703082,-0.338694533,-9.81627357,33.9
5440776530,-0.0005403719,-0.00134570523,-0.000530585955,-0.287312273,-0.336899631,-9.80969609,33.875
5440781546,-0.00027018595,-0.00188398727,0,-0.287312268,-0.337497934,-9.82045875,33.85
5440786561,-0.0005403719,-0.00215312829,0,-0.285519161,-0.338096229,-9.80909813,33.95
5440791577,-0.00216148773,-0.00242226933,0,-0.283726058,-0.344079203,-9.81507734,33.875
5440796592,-0.00189130175,-0.00242226933,-0.000530585955,-0.274760528,-0.336301326,-9.81447967,33.875
5440801608,-0.00081055785,-0.00242226933,0,-0.289105381,-0.336301345,-9.81806717,33.925
5440806623,-0.0010807438,-0.00269141037,0,-0.26938121,-0.340489417,-9.80431455,34
5440811639,-0.00162111576,-0.00215312829,-0.000530585955,-0.268185808,-0.335104737,-9.82464451,33.875
5440816654,0.000810557895,-0.00242226933,-0.000530585955,-0.271772019,-0.332113245,-9.82165468,33.95
5440821670,-0.000540371885,-0.00107656418,0.000530585955,-0.268783514,-0.336301336,-9.81208781,34
5440826685,-0.00135092978,-0.000807423125,0,-0.280139851,-0.338694524,-9.82105671,33.975
5440831701,-0.00135092978,-0.00215312829,-0.000795878932,-0.267588103,-0.344079203,-9.82703637,33.925
5440836716,-0.00081055785,-0.00161484625,-0.00159175786,-0.277151342,-0.341087721,-9.81926282,33.925
5440841732,-0.00135092978,-0.00188398727,-0.00132646488,-0.287312273,-0.336301345,-9.82225293,33.975
5440846747,-0.0005403719,-0.00269141036,-0.000795878932,-0.28790997,-0.333309844,-9.8246448,33.875
5440851763,-0.0005403719,-0.00161484625,0,-0.293886998,-0.326728575,-9.82045889,33.875
5440856778,-0.0005403719,-0.00269141037,-0.000795878932,-0.308231836,-0.349463882,-9.81687124,33.95
5440861794,-0.00108074383,-0.0029605514,-0.00106117191,-0.307036434,-0.337497934,-9.82045874,33.875
5440866809,-0.00081055785,-0.00349883348,-0.00106117191,-0.305841032,-0.324335387,-9.82942823,33.875
5440871824,0.000270185965,-0.00430625658,-0.000795878932,-0.313013463,-0.332113264,-9.81746891,33.925
5440876840,-0.00081055785,-0.00349883348,-0.000265292977,-0.31839279,-0.349463882,-9.82045904,33.825
5440881855,1.5e-11,-0.00322969244,-0.00159175786,-0.330346829,-0.332711549,-9.84497447,33.875
5440886871,0.00108074386,-0.00457539762,0,-0.341703167,-0.339891122,-9.84736634,33.975
5440891886,0.000270185965,-0.00484453865,-0.00106117191,-0.345887075,-0.340489417,-9.82882998,33.925
5440896902,0,-0.00511367969,-0.000265292977,-0.357841104,-0.338694533,-9.85633495,33.975
5440901917,0.00108074386,-0.00511367969,-0.00079587893,-0.352461786,-0.346472391,-9.85812914,33.925
5440906933,0.000270185965,-0.00645938487,-0.00132646488,-0.366806647,-0.34228431,-9.8354076,33.925
5440911948,0.000270185965,-0.00565196176,-0.00106117191,-0.37457677,-0.333908138,-9.85274774,33.925
5440916964,0.000270185965,-0.00511367969,-0.00106117191,-0.359036516,-0.343480909,-9.85753146,33.9
5440921979,0.00054037193,-0.00726680798,-0.00185705083,-0.357243403,-0.338096229,-9.84856197,33.95
5440926995,-0.000810557882,-0.00807423109,-0.00132646488,-0.376967565,-0.339891122,-9.84377854,33.925
5440932010,-0.0005403719,-0.00888165446,-0.00212234381,-0.377565275,-0.33809622,-9.85992303,33.85
5440937026,0.00135092983,-0.00941993705,-0.00265292963,-0.39430094,-0.333908148,-9.86590181,33.85
5440942041,0.00135092983,-0.00968907835,-0.00159175786,-0.404461876,-0.344677498,-9.84736604,33.875
5440947057,0.000810557895,-0.00915079575,-0.00106117191,-0.409243493,-0.33151496,-9.8515518,33.95
5440952072,0.000270185965,-0.0102273599,-0.00106117191,-0.405059577,-0.333908148,-9.85812943,33.925
5440957088,1.5e-11,-0.0107656417,-0.00212234381,-0.409243494,-0.348865588,-9.85633553,33.9
5440962103,0.000270185965,-0.0115730646,-0.00106117191,-0.404461876,-0.354250259,-9.85394366,33.95
5440967119,-0.0005403719,-0.0121113466,-0.000795878932,-0.40685268,-0.339292827,-9.85812943,33.975
5440972134,0.00054037193,-0.0102273599,0,-0.414622803,-0.329720057,-9.84975791,33.925
5440977150,0.00054037193,-0.0113039236,0,-0.406254979,-0.347070695,-9.83720121,33.875
5440982165,-0.00027018595,-0.0113039236,-0.00079587893,-0.401473352,-0.345275792,-9.84019045,33.95
5440987181,0,-0.0123804877,-0.000530585955,-0.40027796,-0.337497925,-9.83600528,33.775
5440992196,-0.0005403719,-0.0126496287,-0.000530585955,-0.403864175,-0.331514951,-9.8300262,33.925
5440997212,0,-0.0121113466,-0.000265292977,-0.40685268,-0.332711549,-9.81089187,33.925
5441002227,0.00027018598,-0.0118422056,0,-0.392507828,-0.350660481,-9.80730452,33.9
5441007242,-0.0010807438,-0.0129187697,-0.000265292977,-0.402668764,-0.339891122,-9.81149013,33.95
5441012258,-0.0005403719,-0.0126496287,-0.00132646488,-0.40745039,-0.328523468,-9.80311891,33.925
5441017273,-0.00135092978,-0.013187911,-0.000530585955,-0.413427401,-0.327925164,-9.79056249,33.925
5441022289,0.00054037193,-0.01291877,0.000795878932,-0.399082548,-0.340489417,-9.78219141,33.95
5441027304,-0.00027018595,-0.0121113466,0,-0.396691735,-0.334506442,-9.77979955,33.9
5441032320,-0.00027018595,-0.0126496287,0.000795878932,-0.39370323,-0.329121772,-9.76365535,33.875
5441037335,-0.0010807438,-0.0129187697,0.000265292977,-0.388323921,-0.334506433,-9.767243,33.85
5441042351,-0.00081055785,-0.0110347825,-0.00106117191,-0.389519323,-0.31655752,-9.77501611,33.875
5441047366,0,-0.0110347825,-0.000265292977,-0.384140004,-0.324933682,-9.7654491,33.975
5441052382,-0.00162111576,-0.0110347825,-0.00106117191,-0.382346892,-0.336301326,-9.75229458,34.025
5441057397,-0.000810557882,-0.0110347825,-0.00106117191,-0.36859975,-0.330318371,-9.7708305,33.95
5441062413,0,-0.0102273599,-0.00106117191,-0.358438805,-0.328523468,-9.76784096,33.875
5441067428,0,-0.00968907835,-0.000530585955,-0.351266384,-0.325531976,-9.75349036,33.9
5441072444,-0.00081055785,-0.00941993705,-0.000265292977,-0.356645712,-0.323138788,-9.7600677,33.975
5441077459,-0.00027018595,-0.00968907835,-0.000795878932,-0.342898569,-0.323138798,-9.76485142,33.95
