# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]
41900213,-3.4854,-18.5367,46.8739
41999503,-3.5812,-18.3936,46.6280
42099426,-4.1972,-17.6731,46.0358
42201198,-3.7935,-18.4212,46.7371
42300091,-3.9970,-18.0015,46.5854
42399539,-4.0011,-18.2528,46.5019
42498694,-4.2703,-18.2248,47.0828
42599111,-5.0532,-17.6584,46.8237
42699367,-4.7246,-17.4121,46.7601
42801478,-5.0761,-17.9824,46.4252
42898854,-4.9885,-17.7610,46.7660
43001351,-5.2654,-17.2663,46.5235
43100990,-5.9644,-18.0635,45.8748
43200383,-5.4532,-17.4502,47.2404
43299557,-6.3902,-17.7224,46.2006
43400389,-5.7228,-17.4663,46.8660
43499764,-6.2538,-17.5227,46.9781
43599455,-6.2006,-16.8952,46.9077
43700634,-6.6312,-17.3741,46.4004
43800025,-6.6716,-17.4679,46.7112
43898891,-7.2391,-17.3396,46.6367
44000328,-7.0012,-17.0518,46.2452
44099144,-7.4000,-17.2484,47.2132
44198510,-7.7794,-17.1044,46.6329
44299041,-7.5720,-16.3248,47.0960
44400381,-7.5611,-17.1811,46.2424
44499825,-7.7108,-16.6705,46.0739
44598820,-7.4220,-16.4909,46.5554
44698589,-7.5978,-16.9490,46.7545
44800546,-8.6241,-16.0558,46.7278
44899571,-8.3907,-16.7379,46.2005
45000962,-8.5644,-16.7735,46.7026
45101479,-8.8278,-16.2446,46.3014
45200629,-8.6331,-15.7878,46.4734
45299314,-8.8518,-16.6825,46.8426
45398817,-8.7558,-16.0926,46.9006
45501061,-9.3022,-16.1048,47.2335
45599004,-8.8859,-15.7816,46.7735
45700731,-9.1330,-15.5765,47.0199
45800723,-9.7519,-16.3211,46.5664
45900793,-9.9188,-15.4827,46.3449
46000990,-10.2983,-15.6643,47.6824
46101134,-9.8869,-15.5350,46.4107
46201025,-9.8342,-14.7269,46.7294
46300064,-9.9778,-14.9893,46.5524
46398506,-10.2035,-14.8201,46.0452
46499863,-10.4154,-15.0380,46.7156
