# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2]
2550993,-0.0004,0.0024,0.0477,0.33,-0.59,-9.89
2559583,0.0042,-0.0003,0.0416,0.40,-0.24,-9.79
2570087,0.0050,-0.0029,0.0517,-0.00,0.05,-10.33
2581022,0.0015,0.0027,0.0424,0.40,0.30,-9.53
2588596,-0.0020,0.0040,0.0411,0.34,-0.12,-9.63
2599516,0.0047,-0.0008,0.0504,0.61,0.01,-9.50
2608864,0.0020,0.0005,0.0469,-0.48,0.54,-9.81
2620731,0.0052,0.0029,0.0461,-0.04,0.16,-9.63
2629884,0.0047,-0.0000,0.0499,-0.44,-0.12,-8.84
2639506,0.0052,-0.0021,0.0488,0.31,-0.77,-9.29
2648651,-0.0022,0.0053,0.0480,-0.33,0.14,-9.50
2659284,0.0028,-0.0011,0.0552,0.29,-0.30,-9.97
2670047,-0.0020,0.0029,0.0477,-0.25,0.04,-9.26
2680512,0.0015,0.0005,0.0488,0.83,-0.56,-9.89
2689431,0.0034,0.0029,0.0419,0.14,0.41,-9.48
2700887,0.0044,-0.0048,0.0483,0.26,0.19,-10.05
2709069,0.0074,0.0061,0.0475,0.01,0.49,-9.25
2719896,0.0007,0.0003,0.0475,0.07,-0.16,-9.43
2730606,0.0015,0.0024,0.0533,0.27,0.27,-9.04
2740722,0.0020,0.0021,0.0525,-0.33,0.19,-9.77
2750152,0.0031,0.0061,0.0491,-0.25,0.19,-9.23
2761121,-0.0038,-0.0061,0.0443,-0.22,-0.32,-9.42
2770229,0.0058,0.0072,0.0453,0.41,-0.63,-9.38
2780410,0.0068,0.0027,0.0515,0.14,-0.15,-9.91
2789329,0.0042,0.0048,0.0483,0.32,-0.04,-10.11
2800085,0.0042,0.0021,0.0480,-0.06,0.33,-9.67
2808662,0.0055,0.0048,0.0440,0.61,-0.42,-9.46
2819295,0.0026,-0.0037,0.0467,0.09,0.48,-9.70
2830119,0.0063,0.0021,0.0451,-0.02,0.23,-10.03
2840388,0.0026,-0.0005,0.0517,-0.57,0.45,-9.33
2850733,0.0012,0.0045,0.0539,0.02,-0.40,-9.46
2860785,0.0026,0.0021,0.0560,0.03,-0.18,-8.96
2869732,-0.0030,0.0005,0.0493,-0.11,-0.38,-10.03
2880842,0.0012,0.0091,0.0469,-0.25,0.01,-9.56
2889223,0.0071,0.0019,0.0517,-0.03,-0.45,-9.62
2898971,0.0044,-0.0032,0.0467,0.72,-0.10,-9.30
2910659,0.0026,0.0003,0.0464,0.40,-0.05,-10.05
2919274,-0.0006,0.0016,0.0448,-0.13,0.61,-9.86
2930821,0.0020,0.0011,0.0408,-0.21,0.43,-9.50
2940902,0.0007,-0.0027,0.0451,0.30,-0.16,-9.31
