# t_us, static pressure [Pa]
73700781,100927.5000
73800063,100933.5000
73899650,100933.5000
74000439,100938.0000
74098986,100933.5000
74199103,100939.5000
74301130,100926.0000
74398862,100935.0000
74500271,100935.0000
74599475,100938.0000
74701316,100935.0000
74799021,100936.5000
74900184,100935.0000
75001425,100936.5000
75101134,100938.0000
75198562,100936.5000
75299920,100939.5000
75400549,100939.5000
75499096,100941.0000
75601244,100939.5000
75699660,100936.5000
75800472,100936.5000
75898889,100941.0000
75999711,100938.0000
76099373,100947.0000
76199500,100941.0000
76301113,100942.5000
76399910,100938.0000
76499579,100941.0000
76599253,100939.5000
76700842,100938.0000
76799764,100941.0000
76900239,100938.0000
76999586,100941.0000
77099976,100941.0000
77199366,100938.0000
77299733,100942.5000
77400490,100939.5000
77501465,100947.0000
77600124,100947.0000
77699691,100947.0000
77800283,100947.0000
77898552,100945.5000
77999096,100939.5000
78099624,100945.5000
78199233,100941.0000
78300802,100945.5000
78400381,100945.5000
78499255,100948.5000
78600988,100944.0000
78698837,100948.5000
78800302,100950.0000
78899203,100950.0000
78999198,100948.5000
79100205,100947.0000
79199537,100948.5000
79301376,100947.0000
79400383,100945.5000
79499826,100947.0000
79600963,100950.0000
79699709,100950.0000
79799874,100947.0000
79901015,100948.5000
79998922,100948.5000
80100512,100948.5000
80200409,100948.5000
80300371,100951.5000
80399108,100953.0000
80500524,100947.0000
80599808,100953.0000
80698645,100948.5000
80800455,100948.5000
80900393,100947.0000
80999092,100945.5000
81100543,100951.5000
81200469,100947.0000
81299485,100948.5000
81400150,100956.0000
81500918,100948.5000
81599713,100953.0000
81699789,100951.5000
81801463,100947.0000
81900007,100950.0000
81999282,100951.5000
82099607,100948.5000
82201152,100953.0000
82299118,100953.0000
82401454,100951.5000
82500652,100947.0000
82599593,100950.0000
82701350,100950.0000
82798505,100953.0000
82900758,100950.0000
82999273,100951.5000
83098756,100950.0000
83198919,100951.5000
83301212,100953.0000
83400596,100950.0000
83499469,100956.0000
83600102,100954.5000
83701258,100950.0000
83799051,100954.5000
83898825,100953.0000
84000547,100950.0000
84100530,100957.5000
84199760,100954.5000
84298581,100954.5000
84399206,100956.0000
84500135,100954.5000
84599418,100956.0000
84701395,100957.5000
84798601,100953.0000
84901172,100953.0000
84999494,100956.0000
85098870,100954.5000
85198617,100956.0000
85299339,100950.0000
85400115,100956.0000
85501389,100959.0000
85600742,100953.0000
85699747,100953.0000
