# t_us, static pressure [Pa]
304218001,92587.203125
304258001,92586.125000
304298001,92585.953125
304338002,92586.953125
304378419,92587.281250
304418245,92586.687500
304458066,92587.015625
304498000,92586.812500
304539823,92587.203125
304579000,92587.687500
304619002,92586.953125
304659002,92586.171875
304699000,92584.375000
304739365,92585.250000
304779288,92585.937500
304819003,92584.515625
304859001,92585.062500
304899002,92585.031250
304939001,92584.468750
304979002,92584.156250
305019332,92584.218750
305059157,92584.609375
305099000,92585.000000
305139001,92584.984375
305179002,92584.390625
305219000,92585.031250
305259001,92585.218750
305299344,92585.234375
305339170,92585.187500
305379002,92584.406250
305419000,92585.546875
305459000,92584.796875
305499001,92584.640625
305538999,92583.671875
305579431,92584.218750
305619175,92583.750000
305659005,92582.890625
305698999,92582.921875
305739000,92583.468750
305779000,92582.625000
305819001,92583.015625
305859361,92583.468750
305899185,92582.812500
305939010,92583.875000
305979001,92582.781250
306018999,92584.015625
306059000,92583.218750
306099002,92584.437500
306139417,92583.671875
306179207,92584.156250
306219018,92583.890625
306258999,92583.515625
306299001,92583.859375
306339002,92583.687500
306379001,92583.500000
306419381,92583.390625
306459250,92583.312500
306499032,92583.437500
306539002,92583.093750
306580910,92583.265625
306620001,92582.281250
306660001,92582.484375
306700002,92583.625000
306740002,92582.484375
306780371,92581.250000
306820241,92582.984375
306860000,92582.593750
306900006,92582.312500
306939999,92584.187500
306980791,92583.250000
307020002,92582.625000
307060293,92583.468750
307100162,92584.531250
307140001,92583.859375
307180003,92584.656250
307219999,92583.953125
307260000,92584.546875
307300000,92584.515625
307340303,92585.453125
307380124,92585.843750
307420000,92585.125000
307460000,92585.828125
307500000,92586.359375
307540002,92585.781250
307580000,92586.875000
307620311,92586.562500
307660137,92584.859375
307700003,92587.875000
307740002,92587.859375
307780000,92589.000000
307820002,92589.453125
307860000,92589.562500
307900321,92590.546875
307940146,92592.218750
307980001,92592.218750
308020001,92593.421875
308060000,92594.281250
308100000,92594.812500
308140001,92595.234375
308180334,92594.656250
308220155,92596.281250
308260000,92595.843750
308300001,92594.937500
308340001,92595.453125
308380000,92595.578125
308420000,92595.984375
308460340,92596.984375
308500166,92596.796875
308539999,92595.734375
308580001,92596.968750
308621742,92596.750000
308661002,92597.031250
308701003,92596.171875
308741001,92596.828125
308781499,92597.296875
308821285,92597.359375
308861199,92596.984375
308901002,92597.765625
308940999,92597.703125
308981000,92597.781250
309021000,92597.125000
309060999,92597.531250
309101255,92597.328125
309141081,92597.687500
309181002,92598.125000
309221002,92597.296875
309261002,92597.796875
309301001,92597.718750
309341000,92597.093750
309381342,92597.000000
309421089,92597.671875
309461002,92598.359375
309501000,92597.937500
309540999,92598.171875
309581000,92597.156250
309621004,92598.250000
309661273,92597.437500
309701097,92598.437500
309741000,92597.593750
309780999,92597.156250
309821000,92597.437500
