# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]
20930226,-4.07775,25.6796,12.2186
21030257,-3.61006,25.5189,12.1456
21130326,-4.19468,25.4896,12.9933
21230001,-3.7416,25.1681,12.774
21330398,-4.1216,25.7381,12.6425
21430000,-3.81467,25.7235,12.9056
21530598,-3.11312,25.5481,13.154
21630083,-3.62467,25.7527,12.6863
21730226,-3.63929,25.7527,12.8764
21830002,-3.43467,25.3289,13.1394
21930228,-3.6539,25.8258,12.7594
22030005,-3.43467,25.7527,12.584
22130692,-3.17159,25.6065,13.0225
22230001,-3.81467,25.5481,12.3356
22330227,-4.03391,25.6358,12.8033
22430360,-3.66852,25.6796,12.1456
22530225,-3.85852,25.3727,12.5256
22630003,-3.84391,26.0742,12.0579
22730543,-3.82929,25.5919,12.3794
22830001,-4.26776,25.6212,12.3502
22930597,-4.15083,25.8696,13.2856
23030102,-4.01929,25.7235,13.0371
23130322,-3.58082,25.6065,13.3587
23230000,-3.77083,25.665,12.511
23330241,-3.53698,26.0304,12.9494
23430001,-3.56621,25.7527,13.3879
23530606,-3.63929,25.4165,12.511
23630000,-3.75621,25.855,12.5987
23730227,-3.53698,25.7966,12.8617
23830351,-3.62467,26.0304,12.8471
23930224,-4.01929,25.4896,13.154
24030001,-3.40544,25.4896,13.0956
24130595,-4.15083,25.855,13.4317
24230002,-3.77083,25.6065,12.9494
24330000,-3.91698,25.4019,13.0517
24430121,-3.50775,25.855,12.0725
24530227,-4.15083,25.9573,13.5487
24630001,-4.13622,26.1327,13.081
24730255,-4.35545,25.8696,12.8179
24830000,-4.18006,25.5189,13.1979
24930599,-4.00468,25.4896,13.3294
25030001,-4.09237,25.8112,12.6717
25129999,-3.68313,25.4896,12.8325
25230305,-3.82929,25.6796,12.2771
25330225,-4.01929,25.5627,12.9933
25430000,-3.09851,25.4604,13.3294
25530443,-3.30313,25.3581,13.2417
25630000,-3.72698,25.4019,12.9494
25730229,-3.77083,25.5189,12.8179
25830134,-3.68313,25.7381,13.2271
25930229,-3.47851,25.9719,13.651
26030002,-3.97545,25.2412,13.3002
26130369,-3.81467,25.1973,12.9056
26230002,-3.53698,25.6504,12.6279
26330599,-3.85852,25.665,12.7448
26430000,-4.13622,25.665,12.8033
26530231,-4.09237,25.5773,12.7448
26630323,-3.88775,25.1973,12.511
26730224,-3.80006,25.7381,13.2125
26830002,-3.80006,26.1181,11.9263
26930458,-3.62467,25.4604,12.4233
27030002,-3.66852,25.4312,13.3148
27130699,-4.1216,25.7527,13.0079
27230147,-4.04852,25.1388,12.4087
27330226,-4.25314,24.9927,12.4671
27430001,-3.80006,25.2704,12.2333
27530289,-3.85852,25.4019,12.8764
27630001,-3.63929,25.5481,11.8533
27730599,-3.47851,25.475,12.6279
27830004,-3.43467,25.4604,11.9117
27930228,-3.39082,25.8842,12.8764
28030335,-4.1216,25.6212,12.3502
28130324,-4.04852,25.5627,12.9494
28229999,-3.97545,25.855,12.1456
28330474,-4.51622,25.8842,12.2625
28430001,-3.7416,25.6212,12.6863
28530227,-3.87314,26.1766,12.7156
28630163,-3.87314,25.6065,12.8179
28730224,-4.25314,25.6358,12.7156
