# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]
3258408808,-26.3046,41.7621,15.7872
3258508561,-28.5358,41.7511,15.8805
3258609148,-26.9265,42.6328,15.9277
3258709082,-26.141,40.6015,15.3632
3258808339,-26.4706,41.271,16.7022
3258908378,-27.0142,40.5709,15.2584
3259013028,-27.7334,41.7787,16.0687
3259112903,-25.7732,41.8488,15.9858
3259213048,-27.1346,41.8068,14.5711
3259313031,-26.9523,41.7344,16.8152
3259412548,-27.8539,44.039,16.8307
3259512821,-26.2396,42.0316,17.494
3259612517,-26.8934,40.9098,17.2454
3259712454,-29.2477,40.1467,15.5163
3259812599,-28.9677,30.4248,24.6179
3259912456,20.477,13.2978,142.983
3260013316,11.2839,16.6866,111.6
3260114013,15.4379,9.38995,146.814
3260213946,4.04862,17.1399,91.2421
3260313636,6.04354,18.0641,84.9202
3260413201,2.68184,19.987,89.2196
3260514078,-2.72812,25.1767,69.287
3260613520,-25.2011,34.4193,6.81086
3260713258,-26.0986,36.3805,6.80991
3260814274,-28.6997,35.9543,19.8195
3260914951,-26.4951,31.8484,18.0364
3261014715,-26.4598,35.8222,5.84298
3261115280,-28.9812,32.4492,17.588
3261216083,-25.9337,30.7011,17.7902
3261315455,-24.1842,32.9578,3.65
3261415765,-24.6838,33.0745,4.30806
3261516301,-27.3705,34.2112,5.38566
3261616221,-26.8065,33.5992,8.35972
3261716725,-25.4423,33.8636,6.22172
3261816882,-23.3679,32.4371,3.62752
3261917648,-22.857,32.1689,6.14837
3262017404,-23.7296,30.8311,6.36664
3262117921,-25.6742,31.9331,5.75116
3262217636,-23.8171,33.0353,4.5939
3262322701,-23.2686,31.8705,8.10318
3262423115,-23.3378,31.3252,6.57598
3262523683,-23.4535,31.4076,2.63884
3262623202,-24.8728,30.2637,1.2633
3262724316,-24.3758,32.2108,0.142396
3262824380,-26.5803,31.2405,-0.195919
3262924729,-27.9389,34.8535,-4.33652
3263025034,-28.6723,36.2733,-4.93307
3263125000,-29.6169,36.2398,-4.93756
3263224943,-30.5166,38.002,-6.54113
3263324905,-30.2623,34.2403,-8.59882
3263425202,-30.6154,34.4478,-11.6839
3263525292,-31.5852,35.5192,-13.0441
3263626154,-30.4069,35.7022,-13.8701
3263725781,-31.1166,36.9881,-15.0348
3263825395,-31.0395,34.8666,-16.4443
3263925257,-31.675,36.5,-17.8687
3264025843,-33.2125,37.8154,-16.8797
3264125544,-32.9236,37.6979,-19.0393
3264225607,-33.7707,37.9465,-19.8768
3264325382,-35.0428,35.372,-22.9051
3264425951,-36.8958,36.6177,-24.1674
3264525883,-37.286,37.2248,-24.7013
3264625367,-35.3317,37.0342,-27.9912
3264725656,-36.046,37.6158,-25.4334
3264826037,-36.3916,35.9667,-28.2301
3264925825,-38.0897,36.4022,-31.5011
3265025287,-37.3233,35.9506,-31.99
3265126077,-38.5714,37.0798,-33.1554
3265225243,-38.1214,37.6515,-34.443
3265325951,-38.8539,36.2194,-27.4793
3265425573,-37.8462,36.1326,-30.7587
3265525623,-39.3125,36.2124,-29.5436
3265626249,-39.7516,36.8199,-30.5471
3265727013,-38.5845,36.726,-31.0176
3265826238,-38.3029,35.369,-32.6748
3265926406,-38.3611,37.3634,-33.4263
3266026729,-39.8277,36.2047,-31.8848
3266126846,-37.9255,36.8165,-30.6339
3266226574,-37.0457,38.1554,-31.0366
3266326608,-38.0821,36.5255,-28.3007
3266426816,-36.5457,37.9467,-26.5426
3266527038,-37.5194,37.5036,-27.4136
3266627193,-36.7382,37.2684,-30.0469
3266727106,-36.03,36.7392,-29.0388
3266826819,-37.0605,36.7005,-28.5743
3266926222,-35.6922,36.6214,-30.7287
3267026471,-36.5934,37.6875,-30.4037
3267126635,-37.6443,36.4837,-30.8335
3267226859,-36.9789,37.6683,-29.1816
3267326897,-37.2977,36.4206,-29.3346
3267426618,-37.4966,36.819,-27.8153
3267526863,-37.7393,36.9279,-23.4005
3267627103,-38.5331,37.4519,-23.948
3267727082,-41.6556,34.4643,-26.1633
3267826557,-39.4675,34.9505,-25.2865
3267926846,-39.3685,35.7146,-26.2809
3268026865,-37.2289,38.3953,-24.7372
3268126581,-37.1595,38.3215,-23.0553
3268226672,-35.3652,37.4953,-23.8356
3268326506,-39.4481,33.2788,-20.2101
3268427147,-38.2058,32.8445,-20.7889
3268527084,-36.9957,37.3751,-25.255
3268626680,-36.4764,37.2535,-24.6974
3268730408,-35.6702,36.7236,-22.75
3268830771,-36.0671,37.0467,-21.3271
3268930677,-36.8691,37.2332,-23.291
3269031103,-36.6126,37.5083,-21.3067
3269130348,-36.3399,37.526,-23.0909
3269231015,-36.0498,38.2956,-23.7994
3269330687,-36.3876,37.1748,-21.7915
3269430206,-34.7766,36.4665,-19.6657
3269531211,-39.0795,32.3855,-17.3423
3269632057,-38.8815,32.4608,-17.2459
3269732208,-35.7889,36.3694,-21.3588
3269832420,-36.29,36.0043,-20.5393
3269932282,-35.0285,36.8037,-20.2121
3270032768,-36.4789,35.1734,-20.672
3270132413,-36.3262,35.93,-19.6039
3270233328,-35.1454,37.1456,-20.7578
3270333513,-36.6168,37.0182,-19.3598
3270434197,-36.4438,35.7214,-19.9916
3270533963,-35.1774,36.7279,-19.8389
3270633543,-36.1757,35.2491,-19.8206
3270734236,-35.6376,35.1915,-18.0442
3270835304,-35.0358,35.9691,-18.0973
3270935918,-34.9903,36.6485,-16.002
3271035530,-35.2415,36.2977,-16.3885
3271135798,-36.3549,36.4762,-19.0161
3271235380,-36.2041,37.1559,-16.1658
3271336106,-34.1865,37.3723,-17.7424
3271435886,-33.901,36.1689,-22.9641
3271535652,-34.078,37.1899,-22.161
3271635429,-35.7402,34.7942,-22.1887
3271736057,-35.3562,34.4537,-19.8562
3271836053,-34.3664,35.0445,-21.1412
3271935735,-34.7006,34.0774,-22.6895
3272035486,-34.643,36.8229,-21.4341
3272135377,-35.6838,34.3898,-23.5159
3272236255,-34.2551,34.9924,-23.9522
3272336985,-35.1815,34.4722,-22.5798
3272436762,-35.2823,35.7033,-22.0515
3272536543,-34.7881,36.1895,-19.3017
3272637481,-35.702,35.6867,-21.6763
