# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2], imu_temp_c [degC]
# block-averaged from 798 Hz by 4 (inslib_decimate_dataset.py)
3714343261,0.0113478112,-0.0169558861,0.00583644529,-0.174346593,-0.105358472,-9.39054158,25.275
3714348275,0.00972669458,-0.0188398733,0.00663232416,-0.0195417717,-0.232197562,-9.40070642,25.35
3714353289,0.00378260359,-0.0274523863,0.00716291024,-0.0817027835,-0.147837603,-9.5388304,25.4
3714358304,0.00459316154,-0.0255684,0.00689761713,-0.182714419,-0.149632494,-9.68592314,25.325
3714363318,0.0129689264,-0.0255683995,0.00955054716,-0.197059267,-0.246556699,-9.63270681,25.225
3714368332,0.0102670669,-0.0306820781,0.0103464253,-0.276553636,-0.365617912,-9.51132528,25.3
3714373347,0.00216148786,-0.0285289499,0.00901996147,-0.30464563,-0.256727763,-9.54421165,25.3
3714378361,0.000810558013,-0.029874655,0.00875466862,-0.32735831,-0.244163515,-9.70625311,25.3
3714383376,0.00999688047,-0.0317586423,0.00875466862,-0.488737858,-0.32613028,-9.76963457,25.375
3714388390,0.00513353337,-0.025299259,0.00955054716,-0.536554014,-0.500234865,-9.89520157,25.275
3714393404,-0.00486334743,-0.0290672324,0.00955054716,-0.387726211,-0.435020434,-9.99027347,25.375
3714398419,-0.00540371945,-0.0390254518,0.00848937577,-0.437933189,-0.199889485,-9.90237657,25.275
3714403433,-0.00324223156,-0.0320277833,0.00955054716,-0.451082639,-0.183137161,-9.94064492,25.325
3714408447,0.00324223168,-0.0269141047,0.00901996147,-0.350668683,-0.290232426,-10.1128512,25.35
3714413462,0.00648446309,-0.0374106056,0.0100811326,-0.460645865,-0.40869534,-10.103882,25.4
3714418476,-0.00459316141,-0.03391177,0.00875466862,-0.427772253,-0.385960032,-10.1008922,25.35
3714423490,-0.0145900425,-0.0282598099,0.00716291037,-0.18510523,-0.153820575,-10.2031397,25.3
3714428505,-0.00513353318,-0.0433317094,0.00424468789,-0.214990331,0.0011384911,-10.256954,25.375
3714433519,0.0113478104,-0.0390254518,0.00769349632,-0.344093971,-0.134675053,-10.0536549,25.375
3714438534,0.0110776249,-0.0274523862,0.010611718,-0.194070759,-0.247154998,-9.75408833,25.3
3714443548,-0.0027018597,-0.0427934263,0.00742820321,-0.264001898,-0.153820577,-9.78398487,25.325
3714448562,0.0021614876,-0.0457539783,0.00636703151,-0.379358378,-0.0144172444,-9.74272742,25.275
3714453577,0.011347811,-0.0274523867,0.00848937577,-0.309427248,-0.145444411,-9.66499536,25.375
3714458591,0.00756520701,-0.0325660654,0.00795878956,-0.217381134,-0.298608592,-9.65542834,25.275
3714463605,-0.00270185989,-0.0430625689,0.00822408267,-0.360829623,-0.155017173,-9.59384063,25.4
3714468620,-0.00189130162,-0.0355266173,0.00504056643,-0.480967718,-0.0221951132,-9.52746963,25.425
3714473634,0.0110776252,-0.0266449631,0.00424468789,-0.405059586,-0.0335627669,-9.48262409,25.275
3714478648,0.00864595105,-0.0306820782,0.00504056623,-0.439726292,-0.308181348,-9.54002619,25.35
3714483663,0.00945650909,-0.0271832457,0.00663232416,-0.430163057,-0.415276627,-9.60819108,25.3
3714488677,-6.50000002e-11,-0.0279906683,0.00689761713,-0.387726211,-0.283651152,-9.57052113,25.225
3714493691,-0.0113478108,-0.0322969244,0.00450998021,-0.4708068,-0.108349962,-9.7636552,25.325
3714498706,0.00918632347,-0.0180324502,0.00557115251,-0.377565284,-0.109546557,-9.90835593,25.375
3714503720,0.0159409718,-0.0174941681,0.00689761713,-0.36202502,-0.380575362,-9.83122213,25.35
3714508735,0.0067546494,-0.0269141041,0.00769349645,-0.477381521,-0.348267284,-9.69190266,25.375
3714513749,-0.00324223146,-0.0169558861,0.00742820335,-0.355450296,-0.204077575,-9.80012907,25.375
3714518763,0.00783539283,-0.0158793211,0.00557115199,-0.11876031,-0.0515116934,-9.85812884,25.4
3714523778,0.0170217161,-0.0244918364,0.00742820335,-0.272369729,-0.311172838,-9.89340737,25.3
3714528792,0.0156707863,-0.0102273594,0.0079587893,-0.3237721,-0.493055293,-9.7815933,25.375
3714533806,-0.00432297546,-0.0115730651,0.00769349632,-0.158806339,-0.256129464,-9.71581983,25.4
3714538821,0.00459316144,-0.0212621419,0.00238763679,-0.265197298,-0.0969823078,-9.97891241,25.3
3714543835,0.0159409726,-0.0169558856,0.00795878956,-0.278346739,-0.116726129,-9.7331604,25.325
3714548849,0.0210745068,-0.00753594901,0.00901996147,-0.396691744,-0.424849388,-9.64765537,25.325
3714553864,0.00513353331,-0.0169558853,0.00848937577,-0.458852761,-0.283651152,-9.45751069,25.325
3714558878,0.00378260351,-0.01291877,0.00742820335,-0.627404717,-0.170572912,-9.59982,25.3
3714563893,0.00621427719,-0.00403711554,0.00610173794,-0.426576851,-0.117324423,-9.6829336,25.425
3714568907,0.0170217155,-0.00726680798,0.00636703105,-0.420599822,-0.325531981,-9.84856197,25.2
3714573921,0.00891613706,-0.0102273596,0.00848937577,-0.455266546,-0.37758387,-9.73734573,25.3
3714578936,-0.000540371918,-0.00322969245,0.00769349645,-0.443312507,-0.223223092,-9.87188148,25.35
3714583950,0.00783539326,-0.00376797451,0.00636703105,-0.399680258,-0.0425372301,-9.9896752,25.35
3714588964,0.0210745058,-0.00376797443,0.00795878956,-0.372783657,-0.161000151,-9.8551393,25.4
3714593979,0.0213446923,0.00780508979,0.00901996147,-0.268783514,-0.368609404,-9.81447967,25.2
3714598993,0.00648446354,0.00134570529,0.00875466836,-0.226346672,-0.314164332,-9.88683032,25.4
3714604007,0.00756520729,-0.00376797453,0.00636703092,-0.420599831,-0.171171204,-10.071593,25.35
