# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2]
1540000,-0,-0,-0.0002,-0.1,-0.05,-9.75
1550000,-0,-0,-0.0002,0.14,-0.04,-9.76
1560000,-0.0002,0,-0,0.16,-0.04,-9.76
1570000,0,-0,-0.0002,-0,-0.07,-9.74
1580000,-0,-0,-0.0002,-0.17,-0.04,-9.74
1590000,-0.0002,0,-0,-0.11,-0.04,-9.75
1600000,0,0,-0.0002,0.1,-0.04,-9.77
1610000,0,0,-0.0002,0.12,-0.05,-9.74
1620000,-0,-0,-0.0002,-0.01,-0.03,-9.74
1630000,-0,-0,-0,-0.07,-0.03,-9.75
1640000,-0.0002,-0,-0.0002,-0.04,-0.06,-9.77
1650000,0,-0,-0.0002,0.01,-0.05,-9.76
1660000,0,-0,-0,0.04,-0.03,-9.75
1670000,-0,-0,-0.0002,0.08,-0.05,-9.76
1680000,-0,-0,-0.0002,0.07,-0.02,-9.76
1690000,-0,-0,-0,-0.02,-0.06,-9.75
1700000,-0,0,-0.0002,-0.06,-0.04,-9.73
1710000,-0,-0,-0,-0.03,-0.05,-9.76
1720000,-0.0002,-0,-0.0002,0.01,-0.05,-9.77
1730000,0,-0,-0,0.03,-0.02,-9.72
1740000,-0,-0.0002,-0.0002,0.07,-0.04,-9.76
1750000,-0,0,-0,0.01,-0.04,-9.76
1760000,-0,0,-0.0002,-0.11,-0.06,-9.74
1770000,-0.0002,0,-0,-0.09,-0.04,-9.74
1780000,0.0002,0,-0.0002,0.12,-0.04,-9.76
1790000,-0.0002,0,-0.0002,0.18,-0.04,-9.75
1800000,0,0,-0,-0,-0.03,-9.74
1810000,0,0,-0.0002,-0.17,-0.05,-9.77
1820000,0,-0,-0.0002,-0.11,-0.04,-9.75
1830000,-0,-0,-0,0.1,-0.04,-9.74
1840000,-0,-0,-0.0002,0.11,-0.05,-9.76
1850000,-0,-0,-0,-0.02,-0.04,-9.75
1860000,-0.0002,-0,-0.0002,-0.06,-0.05,-9.75
1870000,0,-0,-0,-0.01,-0.05,-9.74
1880000,-0,-0,-0.0002,0,-0.06,-9.75
1890000,-0,-0,-0,0.04,-0.04,-9.75
1900000,-0.0002,-0,-0.0002,0.09,-0.06,-9.76
1910000,0,-0,-0.0002,0.03,-0.04,-9.77
1920000,-0,-0,-0,-0.04,-0.05,-9.76
1930000,0,-0,-0.0002,-0.05,-0.05,-9.75
1940000,-0,-0,-0.0002,0,-0.04,-9.76
1950000,-0,-0,-0,0.07,-0.03,-9.76
1960000,-0,0,-0.0002,0.06,-0.06,-9.76
1970000,-0,-0,-0.0002,-0.02,-0.04,-9.74
1980000,-0,-0,-0,-0.07,-0.03,-9.76
1990000,-0,-0,-0.0002,-0.02,-0.05,-9.75
2000000,-0.0002,-0,-0.0002,-0.01,-0.03,-9.75
2010000,0,-0,-0,0.03,-0.05,-9.74
2020000,0,-0.0002,-0.0002,0.09,-0.02,-9.77
2030000,0,0,-0,0.02,-0.05,-9.76
2040000,0,0.0002,-0.0002,-0.1,-0.04,-9.76
2050000,-0,-0.0002,-0,-0.07,-0.05,-9.75
2060000,-0,0,-0.0002,0.11,-0.03,-9.74
2070000,-0.0002,0,-0.0002,0.19,-0.05,-9.76
2080000,0,0,-0.0002,0,-0.06,-9.75
2090000,-0,0.0002,-0,-0.16,-0.05,-9.75
2100000,-0.0002,-0,-0.0002,-0.11,-0.05,-9.77
2110000,-0,-0,-0.0002,0.09,-0.04,-9.76
2120000,-0,-0,-0.0002,0.12,-0.05,-9.75
2130000,-0.0002,-0,-0,-0.01,-0.03,-9.73
2140000,-0,-0,-0.0002,-0.06,-0.06,-9.75
2150000,-0,-0,-0,-0.01,-0.04,-9.74
2160000,-0,-0.0002,-0.0002,0,-0.05,-9.74
2170000,-0.0002,-0,-0.0002,0.03,-0.04,-9.77
2180000,-0,-0,-0,0.08,-0.05,-9.74
2190000,-0,-0,-0.0002,0.07,-0.04,-9.76
2200000,-0,-0.0002,-0.0002,-0.04,-0.04,-9.77
2210000,-0,0,-0.0002,-0.06,-0.05,-9.75
2220000,-0.0002,0,-0,0.01,-0.05,-9.77
2230000,0,0,-0.0002,0.07,-0.07,-9.75
2240000,0,0,-0,0.03,-0.04,-9.74
2250000,0,0,-0.0002,-0.02,-0.05,-9.75
2260000,0,0,-0.0002,-0.06,-0.03,-9.75
2270000,-0,0,-0.0002,-0.01,-0.04,-9.76
2280000,-0,0,-0,-0,-0.05,-9.77
2290000,-0,0,-0.0002,0.01,-0.06,-9.74
2300000,-0.0002,0,-0,0.08,-0.05,-9.74
2310000,0,0,-0.0002,0.03,-0.04,-9.76
2320000,0,0,-0,-0.09,-0.06,-9.74
2330000,0,0,-0.0002,-0.09,-0.03,-9.76
2340000,-0,0,-0.0002,0.14,-0.04,-9.76
