# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]
2047933002,-13.6656,37.299,12.8179
2048032999,-15.0833,39.0091,12.6571
2048135303,-14.981,40.8945,12.1748
2048235610,-14.9956,42.6191,10.3186
2048335000,-13.0225,43.1745,9.29553
2048435868,-11.5756,43.5545,8.40398
2048535165,-11.1517,43.7591,8.57936
2048635226,-12.1602,44.0222,8.59398
2048735002,-12.584,43.8761,8.02397
2048835331,-11.941,43.2476,9.2663
2048935002,-9.54399,42.0637,8.7986
2049035865,-9.50015,41.5814,9.58784
2049135008,-9.66092,40.4852,10.0702
2049234999,-9.77784,39.3452,11.3271
2049335368,-8.87167,38.2637,11.9994
2049435224,-7.54165,37.226,11.9994
2049535001,-7.2055,35.6329,12.4233
2049635557,-7.13242,33.6159,14.1041
2049735001,-7.74627,32.6074,15.3318
2049835871,-8.2432,29.3335,16.2818
2049935208,-6.2701,27.5066,16.3403
2050035224,-5.81701,26.7904,16.6033
2050135002,-7.45396,25.9135,17.0126
2050235130,-7.3955,25.7235,16.4718
2050335002,-7.51242,25.855,17.2026
2050435002,-6.44548,26.5858,16.7787
2050535050,-5.40778,27.7112,16.0918
2050635000,-6.08009,28.4566,15.8872
2050735414,-6.85472,28.9974,16.0187
2050835000,-8.03858,30.1228,15.7118
2050935000,-7.89243,32.5051,15.8141
2051035337,-8.27244,34.3028,13.7241
2051135001,-7.90704,35.6621,12.891
2051235001,-8.81321,37.6352,11.9556
2051335256,-9.29553,39.0968,11.3856
2051435002,-9.4563,39.8568,11.4148
2051535001,-9.2663,39.9737,11.1079
2051635179,-9.86554,40.6022,11.3125
2051735000,-10.7717,41.1722,10.8886
2051835000,-12.774,42.0199,10.4355
2051935102,-13.7971,42.853,9.09091
2052035001,-13.0664,43.0576,9.36861
2052135002,-12.0871,42.7653,9.1786
2052235022,-12.6425,43.1307,9.58784
2052335000,-12.8471,43.0722,9.2663
2052435383,-11.2833,42.6776,9.12014
2052535001,-9.63169,41.8737,10.0555
2052635002,-8.06782,40.8799,10.1578
2052735307,-8.60859,39.9737,10.8594
2052835000,-10.0117,38.556,12.0286
2052935002,-10.4355,37.5621,12.8764
2053035225,-9.98246,36.159,13.1979
2053135001,-8.31628,35.2675,13.7825
2053235002,-8.0532,33.9521,13.8556
2053335151,-7.57089,32.7097,14.9664
2053435002,-6.48933,31.1312,15.8141
2053534999,-4.867,29.4212,16.0333
2053635070,-2.66004,28.3397,16.3549
2053735002,-2.58696,27.2143,16.1502
2053834999,-4.3116,27.5943,16.1941
2053935000,-3.43467,26.9366,15.9602
2054035002,-2.98158,26.5273,16.2233
2054135576,-4.03391,26.0889,16.5595
2054235137,-2.61619,25.8842,16.2379
2054335000,-3.69775,25.4165,17.1295
2054435320,-5.53932,24.8904,17.8164
2054535003,-5.30547,24.6565,17.9041
2054635002,-5.29085,24.2034,17.1587
2054735200,-5.08623,25.3581,17.5387
2054835001,-4.2093,27.4335,15.9895
2054935000,-5.42239,29.7428,15.6533
2055035127,-6.95703,31.4236,15.4049
2055135001,-7.42473,34.5659,13.4025
2055235000,-7.71704,36.0713,13.0225
2055335039,-7.36627,37.9129,11.4002
2055435001,-8.02397,39.5937,10.3479
2055535404,-8.93014,41.2453,9.42707
2055635002,-10.304,42.4437,8.84244
2055735000,-9.58784,43.3791,8.34551
2055835325,-7.8632,43.6861,7.3078
2055935002,-6.16779,44.373,6.4601
2056035001,-6.12394,44.9722,6.95703
2056135249,-6.91318,44.2415,7.71704
2056235002,-6.94241,43.7738,7.70243
2056335001,-7.2055,42.5314,9.03245
2056435169,-5.18854,40.7191,9.35399
2056535000,-4.7793,38.8044,10.8448
2056635000,-3.56621,37.2113,11.1809
2056735090,-2.57235,36.159,11.2394
2056835000,-2.23619,35.2528,11.6194
2056935000,-0.83309,34.639,11.9263
2057035012,-0.306928,34.4198,12.0871
2057135001,-1.60772,34.3905,12.6133
2057235376,-1.69541,34.069,12.8179
2057335003,-3.47851,34.1859,12.4379
2057435002,-4.1216,34.4928,13.5048
2057535297,-5.45162,34.9167,13.2564
2057635000,-8.43321,34.7998,14.8933
2057735002,-12.2917,34.2151,15.5072
2057835221,-13.4464,33.4844,16.1356
2057935001,-12.204,33.3528,16.3403
2058035002,-10.5817,32.5782,16.6618
2058135142,-9.89477,31.4674,16.9395
2058235003,-8.09705,31.8766,17.1295
2058335000,-7.3955,32.169,16.3695
2058435063,-7.1178,32.3882,16.808
2058535002,-6.21163,32.8267,15.8287
2058635426,-4.19468,32.5343,14.8641
2058735002,-2.9962,32.6805,14.2941
2058835002,-2.90851,32.9582,14.1625
2058937453,-1.41771,32.3005,13.2564
2059037017,0.555393,31.2043,13.1394
2059137001,1.94388,29.8743,12.7156
2059236999,2.95235,27.0535,12.2333
2059337318,4.47238,24.2034,13.154
2059437001,4.22391,21.2072,14.0018
2059537001,3.4639,18.9564,13.9433
2059637242,3.09851,17.1733,14.1479
2059737001,2.39696,13.3002,13.9141
2059837001,3.33236,10.2309,13.8848
2059937162,2.48465,6.95703,13.0517
2060037002,0.0876937,4.41391,13.271
2060137002,-1.60772,2.13388,13.1687
2060237084,-2.54312,-0.950015,12.701
2060337002,-3.61006,-3.55159,12.9202
2060437001,-3.82929,-4.3116,12.9787
2060537053,-3.4639,-5.15931,12.6717
2060637000,-3.52236,-5.70009,11.9702
2060737370,-3.36159,-5.62701,12.014
2060837001,-3.04005,-6.13856,12.0871
2060937001,-2.60158,-6.31394,12.7448
2061037290,-2.54312,-5.53932,12.2771
2061137001,-2.45542,-4.89623,12.6863
2061237001,-1.82695,-4.79392,12.8325
2061337212,-1.6808,-4.57469,13.0956
2061437002,-2.36773,-3.59544,13.6217
2061537000,-2.82081,-4.04852,13.5341
2061637140,-2.28004,-3.42005,13.6071
2061737000,-1.41771,-4.23853,13.1687
2061837001,-0.292312,-4.06314,13.271
2061937058,0.0146156,-3.84391,12.6279
2062037002,-0.803859,-3.49313,13.2417
2062137466,-1.72464,-3.78544,13.6802
2062237002,-2.23619,-3.25928,14.4841
2062337001,-1.24233,-3.14236,13.8556
