# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2]  -- block-averaged from 783 Hz by 8 (inslib_decimate_dataset.py)
2021162306,0.00103254213,0.00486294025,-0.00176531395,0.070628949,-0.0215478149,-9.87278982
2021172262,0.00113246554,0.00519601835,-0.00229823891,0.0754173523,-0.0227449158,-9.86261447
2021182218,0.000832695261,0.00403024506,-0.00223162324,0.0751180771,-0.0182557877,-9.86201591
2021192173,0.000999234304,0.0038303982,-0.00216500763,0.0727238754,-0.0161608612,-9.86740287
2021202129,0.0016320827,0.0034307045,-0.0028644717,0.0700303985,-0.0218470902,-9.86411084
2021213329,0.00073277183,0.0034973201,-0.00206508421,0.070628949,-0.0176572372,-9.86261446
2021223285,0.000799387445,0.0038970138,-0.0016653905,0.0742202514,-0.0257376678,-9.86441011
2021233241,0.00179862173,0.00196516078,-0.00236485451,0.0748188019,-0.0257376678,-9.85962171
2021243197,0.00183192956,0.00189854518,-0.00229823888,0.0682347473,-0.0242412918,-9.871892
2021254397,0.00179862173,0.00156546706,-0.00206508422,0.0697311233,-0.0227449158,-9.87129344
2021264353,0.00196516078,0.00216500764,-0.00319754978,0.063446344,-0.021547815,-9.87578257
2021274309,0.00146554367,0.00359724355,-0.00176531394,0.054767363,-0.0212485397,-9.87578257
2021284265,0.00109915776,0.00416347623,-0.00189854519,0.0676361969,-0.0182557877,-9.87159272
2021294221,0.000799387453,0.00512940281,-0.00259800919,0.0676361969,-0.0254383926,-9.86949779
2021305421,0.000599540592,0.00426339968,-0.00159877488,0.0727238754,-0.0233434662,-9.86530794
2021315377,0.00103254211,0.00449655439,-0.00239816236,0.0760159027,-0.015861586,-9.86590649
2021325333,0.00103254213,0.0034973201,-0.00223162328,0.0751180771,-0.0290296951,-9.86650504
2021335288,0.00149885144,0.00439663091,-0.00143223585,0.0661398209,-0.0191536133,-9.86770214
2021345244,0.00103254212,0.0033640889,-0.00146554366,0.0652419952,-0.0194528885,-9.86680432
2021356445,0.00113246555,0.00246477796,-0.00173200612,0.0763151779,-0.0182557877,-9.86441011
2021366400,0.00226493106,0.00156546709,-0.00196516081,0.0763151779,-0.0206499893,-9.87189199
2021376356,0.00136562023,0.00163208268,-0.00276454826,0.0724246002,-0.0170586868,-9.86710359
2021386312,0.00169869831,0.00229823888,-0.00303101074,0.070628949,-0.0263362183,-9.86351229
2021396268,0.000832695254,0.00273124041,-0.00343070443,0.0691325729,-0.0155623108,-9.87219127
2021407468,0.000466309347,0.00353062788,-0.00249808574,0.0640448944,-0.015861586,-9.86800142
2021417424,0.00116577335,0.00442993867,-0.00276454827,0.0697311234,-0.0191536133,-9.87368765
2021427380,0.00123238897,0.00409686066,-0.00173200615,0.0748188019,-0.0173579621,-9.8730891
2021437336,0.000233154674,0.00393032161,-0.00163208267,0.0652419952,-0.0161608612,-9.86710359
2021447292,0.00113246556,0.00416347626,-0.00226493104,0.0733224258,-0.0134673843,-9.87129344
